Time,Open,High,Low,Close,Volume,Count,Wap
20161013,120.75,121.4,120.12,120.83,51058.09,18384,120.811
20161014,121.03,121.84,120.26,120.43,52400.3,15080,120.862
20161017,120.14,120.85,120.14,120.49,43379.27,13818,120.435
20161018,121.12,121.58,120.68,120.9,40564.56,12148,121.119
20161019,120.95,121.95,120.5,121.58,45760.9,16193,121.405
20161020,121.61,122,120.42,121.33,51315.23,18759,121.101
20161021,120.84,121.36,120.1,121.2,46748.88,15697,120.831
20161024,121.88,122.6,121.45,121.83,35752.53,12667,122.02
20161025,122.12,122.12,120.61,120.8,39277.98,12729,121.056
20161026,120.55,120.99,119.46,119.73,52583.35,20216,120.075
20161027,119.83,120.33,117.9,118.3,64234.64,21955,118.773
20161028,117.76,119.02,117.42,118.14,78652.52,27008,118.3
20161031,118.26,118.72,117.8,118.69,41182.59,13979,118.363
20161101,118.88,118.9,116.29,116.88,63290.61,20359,117.303
20161102,116.54,117,115,115.3,67127.25,21021,116.072
20161103,115.25,116.24,114.88,115.13,48224.32,17386,115.535
20161104,115.06,116.89,114.84,115.7,59998.56,23395,115.998
20161107,117.57,118.82,117.57,118.58,60886.6,19353,118.354
20161108,118.39,119.45,117.71,119.4,49183.21,17074,118.764
20161109,117.05,122.83,116.24,122.49,158817.92,50207,120.73
20161110,123.34,125.38,122.62,124.81,160340.52,58485,124.45
20161111,125.18,127.86,124.55,127.74,177312.19,63534,126.652
20161114,128.11,130.25,127.65,129.28,146149.08,50820,129.139
20161115,129.38,129.89,128.3,129.46,74973.19,27390,129.048
20161116,129.39,130,128.84,129.65,64996,21209,129.49
20161117,129.9,130.83,129.76,130.43,73626.94,27094,130.365
20161118,130.23,131.08,130.23,130.99,76061.53,25708,130.747
20161121,131.12,132,130.62,131.7,61247.19,19485,131.335
20161122,132.13,133,131.68,133,70582.01,23108,132.266
20161123,132.76,133.68,132.11,133.58,56742.11,20418,133.076
20161125,133.21,134.2,133.21,133.92,30454.99,11204,133.835
20161128,133.61,134,132.15,132.45,70590.44,23011,132.934
20161129,132.69,133.09,132.1,132.39,62463.17,23024,132.588
20161130,132.42,133.08,131.5,131.8,92432.06,26139,132.047
20161201,131.87,132.54,130.3,130.97,91556.22,28968,131.161
20161202,130.6,131.47,130.52,130.85,52997.56,19862,130.955
20161205,131.7,133.56,131.7,133.48,57564.75,22198,132.84
20161206,133.48,134.9,132.74,134.45,61412.05,22546,133.934
20161207,134.6,136.17,134.18,135.98,69791.51,28311,135.325
20161208,135.77,138.5,135.63,138.32,77192.05,29233,137.38
20161209,137.99,138.82,137.75,138.19,66810.89,23946,138.292
20161212,138.04,138.56,136.51,136.84,86031.75,29664,137.235
20161213,137.42,138.05,136.25,136.89,59864.53,25325,137.013
20161214,136.85,137.35,134.82,135.64,102216.94,43543,135.712
20161215,135.38,137.13,134.96,136.45,60902.35,27878,136.27
20161216,136.26,137.52,135.63,136,89001.43,31958,136.465
20161219,136.23,137.19,135.92,136.85,68110.38,29344,136.646
20161220,137.12,138.21,137.01,137.88,63469.74,25219,137.692
20161221,137.6,138.15,136.79,137.05,41180.99,17638,137.475
20161222,136.4,136.75,134.82,135.4,60103.58,21830,135.593
20161223,135.22,136.14,135.21,136,32300.01,13148,135.802
20161227,135.86,137.3,135.86,136.4,29904.46,11206,136.8
20161228,136.74,136.97,134.84,135.23,48653.48,20770,135.559
20161229,135.18,136.26,134.69,135.4,47044.35,18982,135.246
20161230,135.68,135.84,134.4,134.7,59302.66,22330,134.853
20170103,136.2,136.82,134.5,135.71,53354.3,23361,135.573
20170104,136.1,137.96,136.02,137.74,72528.53,26838,137.354
20170105,137.57,137.76,135.51,136.14,56927.41,23992,136.466
20170106,136.11,136.71,135.43,135.43,48480.95,18828,136.052
20170109,135.4,135.72,134.5,134.65,49258.86,21261,135.109
20170110,134.83,136.37,134.76,136.09,44364.34,19032,135.77
20170111,136,136.78,135.43,136.51,50222.05,20978,136.098
20170112,136.1,136.26,133.59,135.15,82199.34,33850,134.622
20170113,135.35,136.97,135.29,136.45,60845.5,23935,136.415
20170117,135.95,135.95,134.13,134.47,64494.11,25171,134.722
20170118,134.79,135,133.95,134.94,47986.47,19485,134.607
20170119,134.77,135.44,133.18,133.92,82734.47,26870,133.913
20170120,134,134.87,133.82,134.5,66393.47,24328,134.333
20170123,133.74,134.68,133.12,133.98,43944.29,19525,133.809
20170124,133.97,136.28,133.96,136.01,66563.96,24487,135.463
20170125,136.52,137.55,136.47,137.42,66426.5,20474,137.218
20170126,137.6,137.6,136.43,136.45,51358.27,18101,136.8
20170127,136.79,137.04,135.65,136.01,47737.04,16724,136.087
20170130,135.52,135.52,133.24,134.26,87918.54,31299,134.119
20170131,133.89,135.56,133.49,135.48,70645.23,27103,134.622
20170201,135.65,136.87,134.71,134.78,66267.05,25953,135.584
20170202,134.63,135.67,134.42,134.71,47783.01,20451,134.877
20170203,135.15,137.04,135.1,137.03,54406.83,21557,136.427
20170206,136.82,136.83,135.43,135.7,44321.69,18303,135.991
20170207,135.89,136.46,134.77,135.12,57567.15,18155,135.391
20170208,135.15,135.22,133.9,135.01,54483.9,20690,134.552
20170209,135.23,137.24,135,136.93,63944.52,25237,136.686
20170210,137.38,138.37,137.18,138.07,58985.6,23238,137.85
20170213,138.21,139.2,138.09,138.31,52131.57,16028,138.499
20170214,138.34,139.09,137.62,138.88,60537.99,21272,138.397
20170215,138.95,139.87,137.94,139.69,38497.68,13142,139.117
20170216,139.32,139.82,138.22,138.93,53428.46,21204,138.843
20170217,138.9,139.22,137.85,139.17,50463.95,16843,138.778
20170221,139.25,140.31,139.11,140.02,49888.08,14358,140.012
20170222,139.88,140.02,139.25,139.5,27788.17,10618,139.632
20170223,139.78,140.02,137.7,138.51,53185.51,19458,138.606
20170224,137.88,138.67,137.29,138.64,66508.78,20274,138.284
20170227,138.59,140,138.21,139.74,51935.21,17601,139.486
20170228,139.73,139.73,137.48,137.95,75682.02,20401,138.255
20170301,138.64,140.86,138.62,140.49,85303.24,25798,140.313
20170302,140.6,140.61,138.57,138.65,56669.48,19986,139.341
20170303,138.26,139.42,137.88,138.46,55922.71,19208,138.454
20170306,137.71,138.11,136.99,137.6,63638.71,17274,137.561
20170307,137.47,137.74,136.52,136.55,87482.44,21829,136.998
20170308,136.85,137.61,135.71,135.9,67483.91,19856,136.507
20170309,135.68,136.49,134.9,135.54,69765.78,26548,135.611
20170310,135.87,136.52,134.85,135.66,79986.31,25404,135.694
20170313,135.7,136.79,135.37,136.27,56226.66,23977,136.27
20170314,136.08,136.2,134.57,135.76,58863.32,23411,135.301
20170315,136,138.02,135.98,137.58,68631.5,25873,137.223
20170316,138.09,138.51,137.56,138.07,55568.25,18230,137.968
20170317,138.12,138.84,137.31,138.41,80726.01,22544,138.307
20170320,138.3,138.52,137.38,137.86,40067.05,15481,137.877
20170321,138.07,138.59,133.85,133.94,141197.75,44931,135.065
20170322,133.8,134.31,132.79,134.08,82884.85,29636,133.584
20170323,133.96,135.69,133.64,134.67,79075.1,33440,134.935
20170324,134.7,135.46,133.86,134.6,67543.67,30216,134.698
20170327,132.88,135.14,132.41,135.14,62811.54,28479,133.851
20170328,134.81,135.89,134.14,135.68,48281.68,20431,135.201
20170329,135.65,136.49,135.26,136.35,45248.07,19371,136.121
20170330,136.11,137.38,136.01,137.29,44554.81,19595,137.004
20170331,137.01,138.17,136.95,137.52,77372.94,22184,137.644
20170403,137.76,138.09,135.6,136.03,72238.71,30644,136.458
20170404,135.85,136.54,135.34,136.15,52205.85,21583,135.926
20170405,135.77,137.43,133.73,133.88,95531.19,36883,135.523
20170406,133.6,135.83,133.6,135.74,96915.52,32533,135.074
20170407,135.5,136.03,134.75,135.4,62736.58,23716,135.474
20170410,135.54,136.85,135.16,135.72,51958.98,21967,135.986
20170411,135.42,137.12,135.08,137.05,59427.42,24934,136.131
20170412,137.14,137.18,134.82,134.97,56145.76,27628,135.523
20170413,134.98,135.37,133.47,133.65,68088.68,27686,134.273
20170417,133.62,135.53,133.61,135.42,54394,16918,134.733
20170418,135.03,135.45,134.16,135.24,62858.12,22266,135.009
20170419,135.39,136.96,135.39,135.86,79685.4,28055,136.13
20170420,136.18,137.66,136.15,137.45,74586.05,25646,137.142
